date,overall,mining,mfg,electric,mfg_food,mfg_textiles,mfg_wood,mfg_petroleum,mfg_metal,mfg_electric,mfg_transport,overall_sa,mining_sa,mfg_sa,electric_sa
1/12/2020,119.4607046,97.52346826,127.7712812,117.0701697,114.5757553,132.9355847,134.6173608,128.2785018,118.1006641,138.3456773,120.90272,115.37,90.549,124.47,117.375
1/1/2021,120.0413234,100.9199292,127.5116137,115.6207544,113.9877554,126.1242193,128.8164895,126.2222945,123.3832679,138.164031,124.3669241,115.27,92.951,123.894,113.379
1/2/2021,112.3838485,92.26218446,120.1256577,108.9627841,103.7374599,125.1079537,127.0429067,129.4078233,110.1831045,121.4508584,116.2507802,119.837,93.701,129.542,118.717
1/3/2021,120.629304,98.26730552,128.2851979,126.6091029,115.1634872,133.5606273,126.806741,137.5186122,114.230026,129.2874976,133.6722206,118.414,92.402,127.896,121.952
1/4/2021,115.2702863,92.89521881,122.8299617,122.2926867,122.4629429,107.4458079,116.0084762,119.2817989,105.79685,136.085217,129.8822003,119.528,93.872,129.216,120.533
1/5/2021,115.3311917,99.42322915,120.4247284,123.225271,117.2124859,101.9890135,111.6987373,122.9462592,97.54935573,135.8508522,114.8249769,118.437,96.403,126.806,119.798
1/6/2021,116.9458114,92.31637262,126.8813461,108.0179432,116.9457123,98.41831228,106.2608644,140.8198365,83.1549041,163.2280111,69.9369633,116.797,93.847,126.03,109.353
1/7/2021,110.6070692,86.92633567,119.1119102,112.837863,115.2192419,92.52845612,93.34491403,135.2362784,82.10894457,145.9002873,68.51314914,114.05,91.257,121.424,109.506
1/8/2021,114.4519111,84.25590723,125.420041,116.0234836,122.8288288,102.8243855,104.9004039,132.4735524,98.77010477,152.1656521,83.82907193,113.986,88.427,123.381,112.727
1/9/2021,118.2719533,80.20469622,132.3285452,117.8861126,134.634613,119.3891756,120.7563426,126.2261494,111.6509377,161.2130674,104.7088306,116.94,86.654,127.844,117.625
1/10/2021,124.3903564,87.78902762,137.6197053,126.9701446,131.3091384,131.3968206,126.1409307,130.0705278,122.0426513,164.6437854,123.8965375,120.152,87.636,132.024,123.088
1/11/2021,124.9419568,91.38245179,137.7199764,120.6190085,126.1616967,143.7707745,139.5266768,129.8094757,125.2385137,160.4050362,128.4738851,122.128,88.915,134.044,121.125
1/12/2021,126.5947008,95.11887479,138.4569467,123.8032582,126.3142348,138.5261322,143.3929455,131.0173613,124.4153757,163.466147,122.5348193,121.855,90.038,133.808,122.197
1/1/2022,124.8647645,94.95224732,136.1416798,122.172429,121.5918412,132.3680738,139.8839809,126.2889901,131.0683375,158.0999066,129.5406403,120.205,88.203,132.181,120.987
1/2/2022,116.4417961,91.31724101,126.3858757,109.3074074,110.54557,131.1012482,133.1260412,126.4539809,116.0565982,137.1133705,125.6428378,124.225,92.872,136.144,122.878
1/3/2022,126.5998139,97.88057324,137.1721902,126.6430497,119.8891467,140.7456431,136.1656484,137.7129194,120.6075707,153.3391016,135.9431832,124.38,92.539,136.6,122.863
1/4/2022,120.4771943,92.65371549,130.4308336,123.5012483,127.6929225,112.5064246,127.6916209,117.7926901,111.1505212,155.3756086,137.4206679,125.211,93.742,137.512,122.343
1/5/2022,119.4321799,92.1072601,128.7723689,126.8920396,122.6705542,107.1097504,121.5171304,120.7226225,102.6586065,157.0709967,129.1146546,123.808,91.634,136.421,123.27
1/6/2022,130.8001528,93.55422235,145.1973119,123.7783996,126.0636828,110.6015949,124.6305088,141.2866052,104.0398327,190.8260262,132.8165115,130.809,95.869,144.072,125.996
1/7/2022,124.679735,90.78887474,136.8781457,127.5974028,128.1394903,109.0615265,119.3250402,136.5848123,101.7029411,171.0912729,118.9456874,128.73,94.099,140.276,124.172
1/8/2022,129.5087275,89.35780678,144.4963276,127.43411,136.8378737,116.1254136,122.3184303,139.6368161,112.241343,181.9642649,130.090521,129.291,95.696,141.99,124.086
1/9/2022,131.0974598,92.79262649,146.109927,121.75028,141.3022744,128.9969288,131.273549,134.3777308,118.788861,186.2789791,127.3617926,129.28,99.569,140.809,122.245
1/10/2022,129.8361728,94.45248391,143.4143655,124.188473,133.4823509,129.0949559,126.5079179,134.1941363,125.7341205,179.0369908,123.3568447,125.812,95.613,137.518,121.704
1/11/2022,131.0502856,97.75637257,144.3815583,120.0086309,132.2090454,144.8613069,134.5625048,130.3106685,126.561263,179.7551074,136.8298407,127.873,94.466,140.325,121.973
1/12/2022,130.199544,98.83572277,142.6360003,121.0568238,130.6007645,137.8839162,137.2124738,129.9002337,127.1134399,175.2537634,132.9561453,125.318,93.695,137.612,120.716
1/1/2023,127.3517303,100.5200307,137.9402802,120.0545762,126.9989661,130.0475718,131.3135273,128.8611167,130.251643,158.7931622,139.8546366,122.5278104,93.27446987,133.9330047,118.5642239
1/2/2023,120.6366601,90.90228247,132.4360401,111.8756993,122.0336947,133.5512142,132.6264204,128.7775787,123.5839349,144.5856774,136.0424574,128.3655499,92.26035489,142.5438225,122.8957623
1/3/2023,130.643658,98.62068527,142.773621,127.1688846,129.036953,143.3752472,129.5664871,141.1971878,126.6271414,161.7509019,144.5868168,128.2845059,93.14558763,142.0618909,123.578917
1/4/2023,116.5990649,88.07385643,126.4839884,122.9991164,121.5256814,115.271993,120.2349969,113.8670126,114.8461927,151.7310895,125.0379955,121.246441,89.04894235,133.5275676,121.7620143
1/5/2023,125.1052514,94.80864167,135.3588091,134.433256,136.9577319,113.6214399,125.3992185,124.3626876,111.0250407,160.0310088,145.4379671,130.105194,94.33226374,143.7754223,132.2758371
1/6/2023,127.895475,87.52882294,142.8228192,127.2625451,129.715587,114.0720909,124.3773758,134.7222087,109.4201509,184.038707,135.0552312,127.8558397,89.6380052,141.6485527,129.8796194
1/7/2023,125.5772897,94.5617638,136.618592,129.5082977,133.0752463,110.9626796,119.5252459,131.0530492,106.1997803,168.3464038,129.1032199,129.9797023,97.96405545,140.3418616,127.2621213
