date,lf_size,employed,unemployed,outside,u_rate,p_rate,ep_ratio,lf_size_sa,employed_sa,unemployed_sa,u_rate_sa,p_rate_sa,unemployed_15_24,u_rate_15_24,unemployed_15_30,u_rate_15_30,employed_employer,employed_employee,employed_ownaccount,employed_unpaidfamily,unemployed_active,unemployed_active_3mo,unemployed_active_6mo,unemployed_active_12mo,unemployed_active_long,unemployed_inactive
2018-12-01,15500.1,14986.0,514.2,7120.1,3.32,68.52,66.25,15499.945000549993,14996.797694339926,510.7,3.3,68.4,328.7,11.7,428.8,6.8,593.5,10811.7,2909.6,671.2,329.7,149.3,92.6,34.3,53.5,184.4
2019-01-01,15508.5,14992.8,515.6,7095.879,3.32,68.61,66.33,15503.073924126556,15013.368314590989,502.1,3.2,68.5,290.1,10.6,409.3,6.7,570.4,10961.6,2823.0,637.7,400.8,184.7,107.3,73.3,35.4,114.9
2019-02-01,15543.2,15026.8,516.4,7145.9,3.32,68.51,66.23,15525.944201935852,15016.013470301383,506.5,3.3,68.5,282.1,10.5,424.3,6.8,619.4,11098.6,2752.4,556.5,362.6,147.1,99.5,72.7,43.3,153.7
2019-03-01,15556.554,15035.233,521.321,7169.387,3.35,68.45,66.16,15556.08731738048,15025.916931502468,520.0,3.3,68.5,266.3,9.9,403.0,6.6,560.0,11327.2,2574.5,573.6,345.4,175.6,74.7,37.8,57.3,175.9
2019-04-01,15613.141,15089.84,523.303,7184.38,3.35,68.49,66.19,15607.366274478443,15092.855571114222,527.6,3.4,68.5,288.1,10.3,430.0,6.9,578.3,11156.7,2764.8,590.1,365.5,150.1,116.9,67.6,31.0,157.8
2019-05-01,15642.284,15122.467,519.817,7190.031,3.32,68.51,66.23,15632.607783174433,15111.921654841612,526.2,3.4,68.5,289.3,10.5,414.4,6.7,597.9,11345.6,2640.8,538.2,343.2,110.9,132.4,65.7,34.1,176.6
2019-06-01,15655.947,15134.558,521.4,7156.7,3.33,68.63,66.34,15637.291622968667,15116.007311007459,524.7,3.4,68.6,287.0,10.5,418.5,6.8,551.6,11243.3,2746.5,593.1,425.3,220.8,124.1,53.0,27.4,96.0
2019-07-01,15704.558,15179.753,524.805,7207.749,3.34,68.54,66.25,15705.030150904526,15188.867320392237,522.6,3.3,68.5,291.3,10.2,434.4,7.0,541.6,11535.9,2557.7,544.7,362.5,162.7,105.8,53.9,40.1,162.3
2019-08-01,15705.96,15185.778,520.182,7172.405,3.31,68.6,66.38,15708.827588966014,15159.725272531246,519.6,3.3,68.7,297.8,11.2,441.2,7.3,582.2,11235.5,2855.0,513.0,411.7,180.2,128.9,50.0,52.6,108.5
2019-09-01,15751.227,15229.878,521.4,7159.813,3.31,68.7,66.47,15754.508446773823,15238.890945657937,521.9,3.3,68.8,307.1,11.1,443.4,7.2,510.8,11633.8,2500.3,584.8,410.1,213.0,125.7,52.1,19.3,111.2
2019-10-01,15777.725,15265.599,512.126,7175.002,3.2,68.74,66.51,15786.698418098316,15275.376240794109,517.2,3.3,68.8,244.5,9.0,404.8,6.4,547.5,11659.3,2452.0,606.8,340.3,168.2,104.8,42.4,24.9,171.9
2019-11-01,15828.944,15315.023,513.921,7174.22,3.2,68.81,66.58,15855.263737804753,15322.990955296755,522.6,3.3,69.0,274.2,9.5,411.8,6.5,527.6,11565.1,2679.8,542.5,339.5,141.1,92.7,46.2,59.5,174.4
2019-12-01,15803.024,15286.033,516.991,7129.82,3.27,68.91,66.66,15817.07719870685,15303.44592835833,516.6,3.3,68.9,309.9,11.2,412.9,6.5,482.0,11563.4,2669.6,571.1,389.5,182.0,119.3,53.9,34.3,127.5
2020-01-01,15829.283,15317.6,511.687,7128.908,3.23,68.9,66.72,15825.801323708782,15299.389726225792,516.9,3.3,68.8,268.1,10.0,396.9,6.4,552.3,11375.4,2757.1,632.8,319.8,132.4,103.2,48.7,35.6,191.9
2020-02-01,15869.753,15344.5,525.228,7224.043,3.31,68.72,66.44,15849.82921518886,15334.83905139762,528.8,3.3,68.7,288.0,10.8,395.0,6.4,513.2,11513.8,2691.0,626.5,343.2,148.5,96.6,52.6,45.4,182.1
2020-03-01,15842.926,15232.4,610.537,7239.769,3.85,68.64,65.99,15864.316827717419,15255.130143914432,607.2,3.8,68.8,291.4,11.3,470.5,7.8,515.7,11280.0,2812.2,624.5,422.9,200.0,100.2,72.7,50.1,187.6
