Date,usd_myr,crude_oil,dow_jones,klci,exports_my,imports_my,ipi_my,cpi_my,m1_my,m2_my,opr_my,exports_us,imports_us,ipi_us,cpi_us,m1_us,m2_us,fedrate_us
2022-06-01,4.397240855477073,114.33904811314174,31446.712797619046,1476.9423769996279,144275.465344,121093.513037,130.8,127.4,606889.1291666001,2217856.6503956,2.0,182601.9635,285992.6641,103.9262,296.311,20546.1,21576.4,1.21
2022-07-01,4.435833363305955,99.38449974060059,31535.32333984375,1443.3874877929688,134325.516668,118486.734147,124.68,127.9,602156.94321937,2214012.13489237,2.25,176253.9549,270436.9544,103.3444,296.276,20486.3,21571.6,1.68
2022-08-01,4.462830398393714,91.48260862930961,33009.56487771739,1500.1522716175425,141518.884251,124231.33867299999,129.509,128.2,602482.46630246,2232643.35947946,2.25,181450.0713,283282.1638,104.8612,296.171,20393.9,21536.6,2.33
2022-09-01,4.533695459365845,83.8019049508231,30649.559523809523,1457.4871477399554,144249.61988399999,112410.395977,131.097,128.3,596710.8164491401,2247122.03863214,2.5,176311.5601,275013.7616,103.4627,296.808,20280.3,21496.9,2.56
2022-10-01,4.687595231192453,87.03095245361328,30570.683779761905,1417.064208984375,131977.237731,113518.137284,129.836,128.6,597499.6234892,2248503.4617122,2.5,180050.174,281439.1182,103.0849,298.012,20089.6,21409.0,3.08
2022-11-01,4.619859110225331,84.38571457635788,33417.95824032738,1455.1484985351562,129693.918792,107890.405297,131.05,129.0,603199.6885678899,2249186.2469918896,2.75,170582.6984,255579.6119,102.4696,297.711,19982.7,21408.5,3.78
2022-12-01,4.413309140638872,76.51809510730561,33482.25725446428,1475.7938174293154,131606.255974,103626.239002,130.2,129.2,602972.0671806401,2258295.002849639,2.75,167120.0416,253725.4186,101.6607,296.797,19888.2,21436.2,4.1
2023-01-01,4.332204558632591,78.16400032043457,33656.0001953125,1490.5473825555098,112665.503447,94508.322194,127.352,129.5,600857.99324454,2266599.7690555397,2.75,164602.6236,254949.6928,102.7552,299.17,19590.9,21291.7,4.33
2023-02-01,4.354540014266968,76.86052583393298,33648.25678453947,1472.818332248264,112682.126759,92702.965465,120.637,129.8,598616.38813149,2282777.62221649,2.75,158770.3158,230272.311,102.9141,300.84,19322.4,21136.9,4.57
2023-03-01,4.467891257742177,73.37260934580927,32483.478260869564,1423.2652163298233,129744.831494,104468.654122,130.644,129.9,597566.40462426,2283769.1173232603,2.75,183432.8051,261558.2944,103.375,301.836,19081.0,21041.1,4.65
2023-04-01,4.42063992023468,79.43842155054996,33731.28022203947,1427.8038872612847,105165.66026199999,93820.563188,116.599,130.0,595879.3158555699,2278789.25559857,2.75,162578.7778,250039.0973,101.804,303.363,18745.0,20855.6,4.83
2023-05-01,4.507934798365054,71.62090925736861,33316.802290482956,1418.0790608723958,119515.77106099999,104104.705103,125.105,130.2,594870.9752604,2288145.0865014,3.0,166969.385,263696.6754,101.909,304.127,18492.3,20719.5,5.06
2023-06-01,4.627204504880038,70.27428545270648,33904.97637648809,1384.814501953125,123941.95875599999,94874.801836,127.895,130.4,603367.9997714302,2297528.0904774303,3.0,167127.69,257538.3232,103.5035,305.109,18432.6,20752.7,5.08
2023-07-01,4.596214294433594,76.03449974060058,34777.2001953125,1411.1980041503907,116765.364662,99458.206325,125.596,130.5,594210.59759852,2291247.8723055194,3.0,160080.0344,255459.8635,103.3639,305.691,18334.7,20727.8,5.12
2023-08-01,4.603413001350734,81.3208697775136,34880.65658967391,1450.657276500355,115180.797911,97850.4253,129.142,130.7,601691.23077311,2296445.87879211,3.0,172530.6201,265795.9587,105.1458,307.026,18227.0,20695.9,5.33
2023-09-01,4.67635711034139,89.43050003051758,34318.8908203125,1452.3065002441406,124334.09816699999,99936.529323,130.551,130.8,608282.64575641,2310706.34361041,3.0,171036.289,261140.8816,103.2998,307.789,18133.8,20668.3,5.33
2023-10-01,4.740277268669822,85.46681837602095,33319.492720170456,1434.428183815696,126151.698556,113187.277268,133.095,130.9,617108.42721055,2330019.06265355,3.0,177652.9894,276448.5905,102.1654,307.671,18020.8,20627.8,5.33
2023-11-01,4.6879681890661065,77.37666720435733,34704.50241815476,1453.8300141834077,121603.985323,109500.988928,131.833,130.9,624652.0566070001,2351567.588348,3.0,165416.3848,255859.0207,102.0599,307.051,18016.4,20700.7,5.33
2023-12-01,4.661571457272484,72.12350006103516,36947.9275390625,1453.5150024414063,118446.90796,106630.601597,130.12,131.2,638422.9628580001,2390987.006619,3.0,167861.3692,247411.586,102.2236,306.746,18113.2,20855.2,5.33
2024-01-01,4.670869537021803,73.86095210484096,37763.954799107145,1491.5528448195685,122410.483788,112237.969,132.74,131.4,639207.4085864599,2400247.28879646,3.0,160578.7064,253800.1638,101.7062,308.417,18003.9,20822.6,5.33
2024-02-01,4.764533315386091,76.61000022888183,38720.51796875,1533.9952521073192,111356.905075,100116.365899,124.419,132.1,639881.4393100899,2410933.9520600904,3.0,167171.4894,242611.4163,102.7477,310.326,17898.2,20747.4,5.33
2024-03-01,4.71640005565825,80.40499992370606,39105.519921875,1540.8135009765624,128564.532464,115845.336043,133.844,132.2,645343.9313908301,2423483.6823338303,3.0,179390.7696,259147.3788,102.7146,312.332,18095.6,20976.2,5.33
2024-04-01,4.760295477780429,84.39409117265181,38401.217329545456,1555.4035034179688,114695.194503,106953.53694800001,123.734,132.4,638476.3322711398,2414039.30061814,3.0,171453.4513,271426.7818,101.5078,313.548,18061.0,20960.7,5.33
2024-05-01,4.716578255528989,78.6213642467152,39129.390447443184,1607.519054594494,128037.443455,118082.517423,128.11,132.8,635361.40335719,2419724.7007381897,3.0,173421.3271,275167.4629,102.1207,314.069,17929.7,20840.4,5.33
2024-06-01,4.707350039482117,78.69842127749794,38903.73067434211,1602.1566569010417,126016.519225,100413.75307199999,134.299,133.0,642137.7683021899,2416358.23800019,3.0,174418.7618,265554.3498,104.4835,314.175,18015.3,20957.2,5.33
2024-07-01,4.685286348516291,80.60380953834171,40049.99553571428,1619.5885765438989,131146.689133,105034.615894,132.229,133.1,636762.1256045599,2412973.10981856,3.0,168768.5406,287996.9714,102.7745,314.54,18011.7,20991.6,5.33
